Date,pos,neg,neutral,compound
2009-01-22,0.03772,0.19308,0.76912,-0.239216
2009-01-23,0.07972,0.20728,0.713,-0.220736
2009-01-26,0.06492,0.21924,0.7158,-0.29638
2009-01-27,0.06988,0.18968,0.7404,-0.268368
2009-01-28,0.06288,0.19376,0.74336,-0.222288
2009-01-29,0.04852,0.1362,0.81528,-0.148988
2009-01-30,0.0546,0.16548,0.77992,-0.235576
2009-02-02,0.07964,0.1532,0.7672,-0.118992
2009-02-03,0.04268,0.18712,0.77016,-0.29778
2009-02-04,0.06812,0.19516,0.73672,-0.235616
2009-02-05,0.09584,0.17044,0.73376,-0.09934
2009-02-06,0.05896,0.15468,0.78632,-0.196356
2009-02-09,0.02672,0.20992,0.76328,-0.345492
2009-02-10,0.06904,0.22672,0.70436,-0.284832
2009-02-11,0.074,0.17824,0.74768,-0.244792
2009-02-12,0.05356,0.17008,0.77644,-0.240084
2009-02-13,0.05404,0.17056,0.7754,-0.222336
2009-02-17,0.02744,0.19392,0.77856,-0.290588
2009-02-18,0.09764,0.15252,0.74988,-0.139664
2009-02-19,0.07392,0.19408,0.732,-0.190804
2009-02-20,0.05276,0.24748,0.69972,-0.284288
2009-02-23,0.0522,0.18764,0.7602,-0.259276
2009-02-24,0.09276,0.17964,0.7276,-0.158032
2009-02-25,0.06136,0.17716,0.76156,-0.287948
2009-02-26,0.07468,0.15104,0.77424,-0.162836
2009-02-27,0.05452,0.16544,0.78004,-0.223044
2009-03-02,0.0546,0.17448,0.77096,-0.184456
2009-03-03,0.0666,0.17248,0.76092,-0.243072
2009-03-04,0.08084,0.2476,0.67156,-0.345128
2009-03-05,0.06744,0.16144,0.77112,-0.244876
2009-03-06,0.05932,0.20712,0.7336,-0.303992
2009-03-09,0.09084,0.16928,0.73992,-0.102452
2009-03-10,0.06836,0.15044,0.78116,-0.173352
2009-03-11,0.03792,0.30884,0.65316,-0.438168
2009-03-12,0.06372,0.1934,0.74284,-0.280244
2009-03-13,0.053,0.15736,0.7896,-0.220628
2009-03-16,0.07784,0.14476,0.77744,-0.191472
2009-03-17,0.04212,0.2548,0.70308,-0.381584
2009-03-18,0.04748,0.22336,0.72908,-0.3317
2009-03-19,0.0756,0.22908,0.69536,-0.330976
2009-03-20,0.0352,0.21076,0.754,-0.3837
2009-03-23,0.06132,0.20892,0.72976,-0.234924
2009-03-24,0.04472,0.2064,0.74888,-0.397352
2009-03-25,0.05616,0.23212,0.71172,-0.296756
2009-03-26,0.05604,0.24604,0.6978,-0.352116
2009-03-27,0.08664,0.19084,0.72252,-0.231392
2009-03-30,0.01952,0.14884,0.83164,-0.239784
2009-03-31,0.061,0.17656,0.76244,-0.235604
2009-04-01,0.05856,0.12888,0.81252,-0.126388
2009-04-02,0.05972,0.23064,0.70964,-0.287216
2009-04-03,0.04408,0.15236,0.8036,-0.223556
2009-04-06,0.10372,0.17856,0.7178,-0.200332
2009-04-07,0.03496,0.17224,0.79276,-0.307172
2009-04-08,0.06128,0.1458,0.79296,-0.159068
2009-04-09,0.03592,0.19292,0.77116,-0.329988
2009-04-13,0.03952,0.17812,0.7824,-0.257236
2009-04-14,0.03808,0.13724,0.82468,-0.232932
2009-04-15,0.07624,0.16652,0.75716,-0.238848
2009-04-16,0.04972,0.2368,0.71352,-0.348668
2009-04-17,0.10072,0.24256,0.65672,-0.275972
2009-04-20,0.06372,0.1898,0.74652,-0.285584
2009-04-21,0.10084,0.15356,0.74556,-0.154384
2009-04-22,0.04888,0.15736,0.79376,-0.189872
2009-04-23,0.07532,0.16244,0.76232,-0.1459
2009-04-24,0.0724,0.18012,0.74748,-0.179864
2009-04-27,0.06184,0.141,0.79716,-0.14538
2009-04-28,0.05292,0.2134,0.73372,-0.25378
2009-04-29,0.04852,0.1226,0.82888,-0.155056
2009-04-30,0.04184,0.2194,0.73872,-0.349876
2009-05-01,0.05848,0.16952,0.772,-0.272452
2009-05-04,0.06432,0.1586,0.77712,-0.196668
2009-05-05,0.06116,0.23392,0.70492,-0.328756
2009-05-06,0.08164,0.20776,0.71056,-0.254228
2009-05-07,0.04508,0.14504,0.80988,-0.15404
2009-05-08,0.06612,0.17852,0.75548,-0.253424
2009-05-11,0.0662,0.1762,0.75764,-0.229136
2009-05-12,0.0614,0.18024,0.7584,-0.223408
2009-05-13,0.09452,0.16536,0.74016,-0.1507
2009-05-14,0.05692,0.2376,0.70552,-0.359872
2009-05-15,0.09568,0.12052,0.7838,-0.035564
2009-05-18,0.05172,0.18004,0.76828,-0.21758
2009-05-19,0.08764,0.1396,0.77288,-0.129796
2009-05-20,0.02572,0.22596,0.74836,-0.46712
2009-05-21,0.0364,0.20328,0.76024,-0.2905
2009-05-22,0.08096,0.24024,0.6788,-0.30232
2009-05-26,0.05812,0.13188,0.81,-0.146684
2009-05-27,0.05952,0.17704,0.7634,-0.202444
2009-05-28,0.08792,0.17192,0.7402,-0.150204
2009-05-29,0.05732,0.14336,0.79936,-0.190752
2009-06-01,0.06652,0.1494,0.78404,-0.16226
2009-06-02,0.06112,0.09928,0.83956,-0.119944
2009-06-03,0.0494,0.15296,0.79764,-0.208352
2009-06-04,0.07432,0.11812,0.8076,-0.07548
2009-06-05,0.08756,0.0764,0.83608,0.017396
2009-06-08,0.08556,0.16912,0.74536,-0.166384
2009-06-09,0.04964,0.25512,0.69516,-0.384188
2009-06-10,0.05244,0.15664,0.79092,-0.21722
2009-06-11,0.10256,0.15364,0.74372,-0.150164
2009-06-12,0.08584,0.15608,0.75808,-0.116552
2009-06-15,0.02756,0.18508,0.78736,-0.288328
2009-06-16,0.10072,0.1888,0.71048,-0.149436
2009-06-17,0.0502,0.12144,0.82836,-0.170612
2009-06-18,0.0786,0.14788,0.77356,-0.172852
2009-06-19,0.07596,0.20828,0.7158,-0.273456
2009-06-22,0.1186,0.09636,0.785,0.010164
2009-06-23,0.073,0.22208,0.70488,-0.327328
2009-06-24,0.06188,0.19744,0.7406,-0.31966
2009-06-25,0.13056,0.14592,0.72352,-0.035596
2009-06-26,0.05192,0.17428,0.77384,-0.274568
2009-06-29,0.02752,0.17252,0.79996,-0.263344
2009-06-30,0.13152,0.1878,0.68072,-0.069788
2009-07-01,0.0978,0.0998,0.80236,-0.099804
2009-07-02,0.07676,0.20532,0.718,-0.173808
2009-07-06,0.04156,0.28376,0.67468,-0.413192
2009-07-07,0.04868,0.2246,0.72676,-0.334236
2009-07-08,0.06776,0.18648,0.74568,-0.280852
2009-07-09,0.03704,0.19152,0.77144,-0.362276
2009-07-10,0.032,0.256,0.71208,-0.397
2009-07-13,0.07072,0.16648,0.76268,-0.254664
2009-07-14,0.06076,0.25652,0.68272,-0.32556
2009-07-15,0.07096,0.27684,0.65212,-0.43244
2009-07-16,0.07764,0.156,0.7664,-0.231248
2009-07-17,0.078,0.1988,0.72324,-0.288964
2009-07-20,0.09584,0.20432,0.6998,-0.23468
2009-07-21,0.03604,0.12728,0.83668,-0.211176
2009-07-22,0.06216,0.13884,0.799,-0.12522
2009-07-23,0.04836,0.18004,0.7716,-0.289028
2009-07-24,0.053,0.13008,0.81692,-0.164248
2009-07-27,0.07396,0.2084,0.71756,-0.284964
2009-07-28,0.06856,0.1904,0.74112,-0.300288
2009-07-29,0.07304,0.1856,0.74144,-0.31262
2009-07-30,0.0658,0.19724,0.737,-0.265136
2009-07-31,0.09096,0.16892,0.74008,-0.22312
2009-08-03,0.06928,0.1054,0.82536,-0.138668
2009-08-04,0.026,0.16252,0.81148,-0.3101
2009-08-05,0.0436,0.1526,0.8038,-0.23992
2009-08-06,0.05384,0.12468,0.82152,-0.178052
2009-08-07,0.08056,0.21384,0.70556,-0.295884
2009-08-10,0.05192,0.16684,0.7812,-0.242556
2009-08-11,0.05664,0.20576,0.73756,-0.278824
2009-08-12,0.06072,0.1232,0.81608,-0.075436
2009-08-13,0.05688,0.11696,0.8262,-0.205424
2009-08-14,0.05188,0.14468,0.80344,-0.181096
2009-08-17,0.0536,0.2126,0.7338,-0.29982
2009-08-18,0.05948,0.12412,0.81648,-0.15656
2009-08-19,0.06816,0.16664,0.76528,-0.260832
2009-08-20,0.0806,0.11032,0.80904,-0.108648
2009-08-21,0.0704,0.20048,0.72896,-0.37504
2009-08-24,0.055,0.1202,0.82484,-0.172796
2009-08-25,0.08284,0.175,0.74224,-0.2
2009-08-26,0.0744,0.16076,0.7648,-0.13976
2009-08-27,0.06184,0.17088,0.76736,-0.278644
2009-08-28,0.062,0.14852,0.7894,-0.155236
2009-08-31,0.0674,0.17636,0.75632,-0.260068
2009-09-01,0.0454,0.1066,0.84796,-0.181712
2009-09-02,0.13772,0.17996,0.68236,-0.108916
2009-09-03,0.05672,0.16212,0.78116,-0.176668
2009-09-04,0.06964,0.15344,0.77696,-0.175416
2009-09-08,0.07268,0.16128,0.76596,-0.183104
2009-09-09,0.05116,0.1128,0.83604,-0.170552
2009-09-10,0.0556,0.13344,0.81104,-0.26098
2009-09-11,0.08228,0.16428,0.75352,-0.180928
2009-09-14,0.1132,0.10264,0.78412,-0.112512
2009-09-15,0.10228,0.105,0.79272,0.019432
2009-09-16,0.05304,0.12556,0.82144,-0.10096
2009-09-17,0.0578,0.21656,0.72564,-0.383784
2009-09-18,0.09156,0.15536,0.75304,-0.195904
2009-09-21,0.04592,0.14268,0.81136,-0.132144
2009-09-22,0.08956,0.18872,0.72172,-0.23028
2009-09-23,0.0916,0.15404,0.75444,-0.130804
2009-09-24,0.06536,0.13484,0.79984,-0.230428
2009-09-25,0.08032,0.12812,0.79156,-0.065116
2009-09-28,0.14608,0.15688,0.69704,-0.006404
2009-09-29,0.08416,0.19972,0.71608,-0.316328
2009-09-30,0.0404,0.2012,0.75844,-0.299776
2009-10-01,0.07552,0.17168,0.75284,-0.188708
2009-10-02,0.08316,0.17332,0.74352,-0.204268
2009-10-05,0.08832,0.16492,0.7468,-0.234248
2009-10-06,0.06916,0.16496,0.76584,-0.246124
2009-10-07,0.06312,0.25872,0.67812,-0.466652
2009-10-08,0.095,0.13892,0.76608,-0.08478
2009-10-09,0.1132,0.11872,0.76812,-0.079904
2009-10-12,0.05352,0.1294,0.817,-0.230188
2009-10-13,0.10732,0.23884,0.65384,-0.140792
2009-10-14,0.04164,0.18656,0.7718,-0.296268
2009-10-15,0.10528,0.13792,0.75676,-0.094304
2009-10-16,0.07764,0.15676,0.76552,-0.215508
2009-10-19,0.09168,0.14632,0.762,-0.183768
2009-10-20,0.10812,0.11516,0.77664,0.043816
2009-10-21,0.0704,0.16296,0.76656,-0.139744
2009-10-22,0.07792,0.1622,0.75992,-0.172584
2009-10-23,0.071,0.1346,0.79436,-0.103768
2009-10-26,0.0602,0.20948,0.73032,-0.386364
2009-10-27,0.05588,0.18628,0.75784,-0.33648
2009-10-28,0.09196,0.21096,0.69708,-0.267188
2009-10-29,0.06796,0.1244,0.80768,-0.18188
2009-10-30,0.07336,0.16492,0.76168,-0.130448
2009-11-02,0.0786,0.11044,0.81096,-0.054
2009-11-03,0.05792,0.12112,0.82088,-0.163688
2009-11-04,0.07148,0.15752,0.77104,-0.164804
2009-11-05,0.06196,0.19468,0.74336,-0.267228
2009-11-06,0.06104,0.15428,0.7848,-0.198516
2009-11-09,0.0846,0.12284,0.7926,-0.07712
2009-11-10,0.06292,0.1464,0.79068,-0.19778
2009-11-11,0.08556,0.13292,0.78148,-0.089844
2009-11-12,0.05052,0.17824,0.77124,-0.264444
2009-11-13,0.08496,0.1542,0.76088,-0.160608
2009-11-16,0.05172,0.204,0.74432,-0.352712
2009-11-17,0.11344,0.108,0.77856,-0.087908
2009-11-18,0.03632,0.175,0.7886,-0.25056
2009-11-19,0.09188,0.13064,0.77732,-0.161524
2009-11-20,0.05888,0.17568,0.7654,-0.27468
2009-11-23,0.01064,0.23356,0.75572,-0.451672
2009-11-24,0.0484,0.21092,0.74064,-0.349728
2009-11-25,0.0448,0.16524,0.78992,-0.21642
2009-11-27,0.06892,0.16024,0.7708,-0.205984
2009-11-30,0.04336,0.19576,0.76088,-0.272344
2009-12-01,0.06704,0.1872,0.74584,-0.219032
2009-12-02,0.01756,0.2176,0.76484,-0.478244
2009-12-03,0.0716,0.19808,0.73028,-0.247764
2009-12-04,0.01692,0.16476,0.81836,-0.256812
2009-12-07,0.07428,0.18328,0.74248,-0.186616
2009-12-08,0.09784,0.14692,0.75528,-0.138112
2009-12-09,0.09336,0.14812,0.75856,-0.110256
2009-12-10,0.06432,0.18588,0.74984,-0.311572
2009-12-11,0.04684,0.20904,0.74416,-0.27946
2009-12-14,0.0586,0.2576,0.6838,-0.358604
2009-12-15,0.0574,0.23644,0.70612,-0.416492
2009-12-16,0.05972,0.19376,0.74652,-0.348008
2009-12-17,0.06188,0.17888,0.75932,-0.291732
2009-12-18,0.09132,0.20052,0.70816,-0.26332
2009-12-21,0.06636,0.18788,0.74576,-0.1986
2009-12-22,0.093,0.165,0.742,-0.271824
2009-12-23,0.07772,0.18524,0.73712,-0.21508
2009-12-24,0.04876,0.14488,0.80636,-0.2303
2009-12-28,0.12144,0.10684,0.77168,0.05572
2009-12-29,0.04924,0.12992,0.82084,-0.130672
2009-12-30,0.05456,0.20572,0.73972,-0.340788
2009-12-31,0.0686,0.17288,0.75856,-0.325792
2010-01-04,0.05504,0.11504,0.82984,-0.168972
2010-01-05,0.04048,0.209,0.75052,-0.304724
2010-01-06,0.053,0.20196,0.74504,-0.369364
2010-01-07,0.11536,0.17556,0.70904,-0.14264
2010-01-08,0.05956,0.21852,0.72196,-0.374108
2010-01-11,0.04228,0.18176,0.77596,-0.365516
2010-01-12,0.0526,0.13488,0.81256,-0.266344
2010-01-13,0.08036,0.2286,0.69092,-0.251728
2010-01-14,0.07124,0.15916,0.76952,-0.224696
2010-01-15,0.06872,0.18248,0.74876,-0.174956
2010-01-19,0.05492,0.20032,0.74476,-0.29476
2010-01-20,0.08784,0.11244,0.79984,-0.081572
2010-01-21,0.05036,0.15812,0.79148,-0.323508
2010-01-22,0.10804,0.15844,0.73348,-0.154212
2010-01-25,0.0694,0.14664,0.78388,-0.228104
2010-01-26,0.04788,0.20336,0.7488,-0.395028
2010-01-27,0.0634,0.13208,0.8046,-0.199276
2010-01-28,0.0672,0.16772,0.76512,-0.296384
2010-01-29,0.05764,0.19192,0.75036,-0.345656
2010-02-01,0.04476,0.14584,0.80936,-0.272228
2010-02-02,0.08924,0.1762,0.73448,-0.144648
2010-02-03,0.13076,0.11024,0.75896,-0.03094
2010-02-04,0.08152,0.1774,0.74104,-0.248324
2010-02-05,0.11832,0.1682,0.71348,-0.009336
2010-02-08,0.06956,0.15496,0.77548,-0.161708
2010-02-09,0.07592,0.14736,0.7768,-0.295348
2010-02-10,0.08872,0.1812,0.73012,-0.241124
2010-02-11,0.07172,0.1536,0.77472,-0.19514
2010-02-12,0.0716,0.25264,0.67576,-0.281224
2010-02-16,0.02048,0.23312,0.74636,-0.425064
2010-02-17,0.04796,0.19232,0.75976,-0.34868
2010-02-18,0.04164,0.15004,0.80828,-0.240404
2010-02-19,0.06244,0.26052,0.67704,-0.351752
2010-02-22,0.04912,0.21104,0.73988,-0.333176
2010-02-23,0.07116,0.23012,0.69868,-0.331568
2010-02-24,0.09004,0.18272,0.72724,-0.275764
2010-02-25,0.04688,0.12756,0.82552,-0.14456
2010-02-26,0.04696,0.10732,0.84564,-0.12946
2010-03-01,0.03896,0.21124,0.74988,-0.397704
2010-03-02,0.05316,0.18116,0.76564,-0.263628
2010-03-03,0.09676,0.21292,0.6904,-0.235696
2010-03-04,0.08712,0.16996,0.7428,-0.1293
2010-03-05,0.07372,0.20448,0.7218,-0.16498
2010-03-08,0.07832,0.14272,0.77896,-0.135024
2010-03-09,0.10188,0.15792,0.74024,-0.12388
2010-03-10,0.10448,0.1574,0.73816,-0.11082
2010-03-11,0.07644,0.16364,0.75988,-0.115456
2010-03-12,0.04928,0.14556,0.8052,-0.22864
2010-03-15,0.05908,0.09412,0.84684,-0.063976
2010-03-16,0.06344,0.19144,0.74512,-0.327252
2010-03-17,0.0622,0.16524,0.77256,-0.15732
2010-03-18,0.06828,0.15004,0.78164,-0.16652
2010-03-19,0.05316,0.18944,0.75732,-0.291608
2010-03-22,0.06156,0.17404,0.76436,-0.256364
2010-03-23,0.06624,0.19884,0.73488,-0.25012
2010-03-24,0.04172,0.15968,0.79868,-0.267644
2010-03-25,0.0716,0.15116,0.77712,-0.20354
2010-03-26,0.05748,0.23732,0.7052,-0.261296
2010-03-29,0.04676,0.19212,0.76112,-0.31716
2010-03-30,0.07604,0.17764,0.7464,-0.293296
2010-03-31,0.02784,0.25024,0.72196,-0.44286
2010-04-01,0.08492,0.17948,0.7356,-0.179372
2010-04-05,0.0696,0.17728,0.75312,-0.267072
2010-04-06,0.02732,0.1862,0.78648,-0.313488
2010-04-07,0.08288,0.26784,0.64932,-0.397584
2010-04-08,0.0668,0.23636,0.6968,-0.338568
2010-04-09,0.077,0.18712,0.73584,-0.198884
2010-04-12,0.11196,0.2078,0.68024,-0.18212
2010-04-13,0.0608,0.17072,0.76852,-0.17248
2010-04-14,0.04848,0.14336,0.8082,-0.125716
2010-04-15,0.1074,0.17176,0.72092,-0.168884
2010-04-16,0.08148,0.22096,0.69756,-0.374132
2010-04-19,0.0666,0.15536,0.77808,-0.197996
2010-04-20,0.06016,0.16836,0.77148,-0.221552
2010-04-21,0.07172,0.1864,0.74192,-0.23894
2010-04-22,0.08672,0.12288,0.79044,-0.089344
2010-04-23,0.04104,0.1388,0.82016,-0.231936
2010-04-26,0.03936,0.14488,0.8158,-0.134396
2010-04-27,0.09796,0.10228,0.79984,-0.036932
2010-04-28,0.06824,0.14248,0.7892,-0.215208
2010-04-29,0.03544,0.22496,0.73948,-0.329844
2010-04-30,0.06236,0.1966,0.74096,-0.335392
2010-05-03,0.08108,0.20236,0.71656,-0.2371
2010-05-04,0.11724,0.18604,0.6968,-0.199976
2010-05-05,0.06568,0.2074,0.72692,-0.22774
2010-05-06,0.0722,0.15016,0.77764,-0.20528
2010-05-07,0.06576,0.15876,0.77548,-0.219084
2010-05-10,0.08832,0.16696,0.74468,-0.207308
2010-05-11,0.0932,0.18956,0.71724,-0.279128
2010-05-12,0.07372,0.18052,0.74576,-0.307156
2010-05-13,0.04996,0.1732,0.7768,-0.22186
2010-05-14,0.0456,0.24632,0.70816,-0.389916
2010-05-17,0.05792,0.16092,0.78108,-0.118764
2010-05-18,0.06,0.11336,0.82664,-0.129112
2010-05-19,0.06512,0.18116,0.75372,-0.348204
2010-05-20,0.05904,0.16976,0.77112,-0.247784
2010-05-21,0.0196,0.1842,0.7962,-0.286348
2010-05-24,0.05988,0.1426,0.79748,-0.24884
2010-05-25,0.04596,0.2122,0.74188,-0.366748
2010-05-26,0.0454,0.141,0.81356,-0.20378
2010-05-27,0.08476,0.17228,0.74292,-0.156708
2010-05-28,0.056,0.1914,0.75256,-0.301296
2010-06-01,0.05068,0.11836,0.83104,-0.188132
2010-06-02,0.05936,0.22552,0.71512,-0.490776
2010-06-03,0.04532,0.11456,0.84016,-0.164132
2010-06-04,0.07976,0.18464,0.7356,-0.286836
2010-06-07,0.02084,0.17904,0.80012,-0.37938
2010-06-08,0.05884,0.189,0.75216,-0.390884
2010-06-09,0.05892,0.12292,0.81804,-0.1873
2010-06-10,0.08608,0.175,0.7388,-0.229468
2010-06-11,0.0626,0.16736,0.76996,-0.20898
2010-06-14,0.06004,0.13196,0.808,-0.102316
2010-06-15,0.07964,0.21664,0.70368,-0.310872
2010-06-16,0.0618,0.15484,0.78332,-0.205744
2010-06-17,0.07316,0.14,0.78684,-0.135232
2010-06-18,0.04772,0.1612,0.79104,-0.282728
2010-06-21,0.05084,0.11828,0.83088,-0.138704
2010-06-22,0.06148,0.14124,0.79724,-0.198156
2010-06-23,0.07936,0.15192,0.76876,-0.165664
2010-06-24,0.05928,0.17376,0.76704,-0.195156
2010-06-25,0.08228,0.16516,0.75248,-0.139692
2010-06-28,0.04788,0.16612,0.78604,-0.220452
2010-06-29,0.0392,0.14612,0.81468,-0.23762
2010-06-30,0.04128,0.21948,0.7392,-0.393232
2010-07-01,0.09192,0.14392,0.76416,-0.042452
2010-07-02,0.05028,0.2118,0.738,-0.35108
2010-07-06,0.06912,0.20684,0.724,-0.25804
2010-07-07,0.06308,0.14928,0.78764,-0.183148
2010-07-08,0.0622,0.18864,0.74916,-0.296748
2010-07-09,0.05632,0.13752,0.80612,-0.141496
2010-07-12,0.05736,0.25376,0.68892,-0.467236
2010-07-13,0.06596,0.18196,0.75212,-0.295808
2010-07-14,0.0822,0.15116,0.76676,-0.218096
2010-07-15,0.07384,0.15496,0.7712,-0.231576
2010-07-16,0.0736,0.1982,0.72816,-0.28308
2010-07-19,0.07388,0.08216,0.84404,-0.025508
2010-07-20,0.08792,0.07592,0.8362,0.052424
2010-07-21,0.04592,0.1996,0.75448,-0.4207
2010-07-22,0.08788,0.16348,0.74856,-0.134296
2010-07-23,0.0626,0.16116,0.77624,-0.208376
2010-07-26,0.07492,0.18184,0.74312,-0.309752
2010-07-27,0.07412,0.16784,0.75808,-0.237296
2010-07-28,0.04684,0.1568,0.79644,-0.313324
2010-07-29,0.08956,0.1432,0.76728,-0.204008
2010-07-30,0.01588,0.17912,0.805,-0.347728
2010-08-02,0.07592,0.16776,0.7564,-0.265452
2010-08-03,0.058,0.15968,0.78228,-0.148624
2010-08-04,0.0452,0.1688,0.78596,-0.271172
