Date,Close
2016/7/1,17949.36914
2016/6/30,17929.99023
2016/6/29,17694.67969
2016/6/28,17409.7207
2016/6/27,17140.24023
2016/6/24,17400.75
2016/6/23,18011.07031
2016/6/22,17780.83008
2016/6/21,17829.73047
2016/6/20,17804.86914
2016/6/17,17675.16016
2016/6/16,17733.09961
2016/6/15,17640.16992
2016/6/14,17674.82031
2016/6/13,17732.48047
2016/6/10,17865.33984
2016/6/9,17985.18945
2016/6/8,18005.05078
2016/6/7,17938.2793
2016/6/6,17920.33008
2016/6/3,17807.06055
2016/6/2,17838.56055
2016/6/1,17789.66992
2016/5/31,17787.19922
2016/5/27,17873.2207
2016/5/26,17828.28906
2016/5/25,17851.50977
2016/5/24,17706.05078
2016/5/23,17492.92969
2016/5/20,17500.93945
2016/5/19,17435.40039
2016/5/18,17526.61914
2016/5/17,17529.98047
2016/5/16,17710.71094
2016/5/13,17535.32031
2016/5/12,17720.5
2016/5/11,17711.11914
2016/5/10,17928.34961
2016/5/9,17705.91016
2016/5/6,17740.63086
2016/5/5,17660.71094
2016/5/4,17651.25977
2016/5/3,17750.91016
2016/5/2,17891.16016
2016/4/29,17773.64063
2016/4/28,17830.75977
2016/4/27,18041.55078
2016/4/26,17990.32031
2016/4/25,17977.24023
2016/4/22,18003.75
2016/4/21,17982.51953
2016/4/20,18096.26953
2016/4/19,18053.59961
2016/4/18,18004.16016
2016/4/15,17897.46094
2016/4/14,17926.42969
2016/4/13,17908.2793
2016/4/12,17721.25
2016/4/11,17556.41016
2016/4/8,17576.96094
2016/4/7,17541.96094
2016/4/6,17716.05078
2016/4/5,17603.32031
2016/4/4,17737
2016/4/1,17792.75
2016/3/31,17685.08984
2016/3/30,17716.66016
2016/3/29,17633.10938
2016/3/28,17535.39063
2016/3/24,17515.73047
2016/3/23,17502.58984
2016/3/22,17582.57031
2016/3/21,17623.86914
2016/3/18,17602.30078
2016/3/17,17481.49023
2016/3/16,17325.75977
2016/3/15,17251.5293
2016/3/14,17229.13086
2016/3/11,17213.31055
2016/3/10,16995.13086
2016/3/9,17000.35938
2016/3/8,16964.09961
2016/3/7,17073.94922
2016/3/4,17006.76953
2016/3/3,16943.90039
2016/3/2,16899.32031
2016/3/1,16865.08008
2016/2/29,16516.5
2016/2/26,16639.9707
2016/2/25,16697.28906
2016/2/24,16484.99023
2016/2/23,16431.7793
2016/2/22,16620.66016
2016/2/19,16391.99023
2016/2/18,16413.42969
2016/2/17,16453.83008
2016/2/16,16196.41016
2016/2/12,15973.83984
2016/2/11,15660.17969
2016/2/10,15914.74023
2016/2/9,16014.37988
2016/2/8,16027.04981
2016/2/5,16204.96973
2016/2/4,16416.58008
2016/2/3,16336.66016
2016/2/2,16153.54004
2016/2/1,16449.17969
2016/1/29,16466.30078
2016/1/28,16069.63965
2016/1/27,15944.45996
2016/1/26,16167.23047
2016/1/25,15885.21973
2016/1/22,16093.50977
2016/1/21,15882.67969
2016/1/20,15766.74023
2016/1/19,16016.01953
2016/1/15,15988.08008
2016/1/14,16379.04981
2016/1/13,16151.41016
2016/1/12,16516.2207
2016/1/11,16398.57031
2016/1/8,16346.4502
2016/1/7,16514.09961
2016/1/6,16906.50977
2016/1/5,17158.66016
2016/1/4,17148.93945
2015/12/31,17425.0293
2015/12/30,17603.86914
2015/12/29,17720.98047
2015/12/28,17528.26953
2015/12/24,17552.16992
2015/12/23,17602.60938
2015/12/22,17417.26953
2015/12/21,17251.61914
2015/12/18,17128.55078
2015/12/17,17495.83984
2015/12/16,17749.08984
2015/12/15,17524.91016
2015/12/14,17368.5
2015/12/11,17265.21094
2015/12/10,17574.75
2015/12/9,17492.30078
2015/12/8,17568
2015/12/7,17730.50977
2015/12/4,17847.63086
2015/12/3,17477.66992
2015/12/2,17729.67969
2015/12/1,17888.34961
2015/11/30,17719.91992
2015/11/27,17813.39063
2015/11/25,17813.39063
2015/11/24,17812.18945
2015/11/23,17792.67969
2015/11/20,17823.81055
2015/11/19,17732.75
2015/11/18,17737.16016
2015/11/17,17489.5
2015/11/16,17483.00977
2015/11/13,17245.24023
2015/11/12,17448.07031
2015/11/11,17702.2207
2015/11/10,17758.21094
2015/11/9,17730.48047
2015/11/6,17910.33008
2015/11/5,17863.42969
2015/11/4,17867.58008
2015/11/3,17918.15039
2015/11/2,17828.75977
2015/10/30,17663.53906
2015/10/29,17755.80078
2015/10/28,17779.51953
2015/10/27,17581.42969
2015/10/26,17623.05078
2015/10/23,17646.69922
2015/10/22,17489.16016
2015/10/21,17168.60938
2015/10/20,17217.10938
2015/10/19,17230.53906
2015/10/16,17215.9707
2015/10/15,17141.75
2015/10/14,16924.75
2015/10/13,17081.89063
2015/10/12,17131.85938
2015/10/9,17084.49023
2015/10/8,17050.75
2015/10/7,16912.28906
2015/10/6,16790.18945
2015/10/5,16776.42969
2015/10/2,16472.36914
2015/10/1,16272.00977
2015/9/30,16284.7002
2015/9/29,16049.12988
2015/9/28,16001.88965
2015/9/25,16314.66992
2015/9/24,16201.32031
2015/9/23,16279.88965
2015/9/22,16330.46973
2015/9/21,16510.18945
2015/9/18,16384.58008
2015/9/17,16674.74023
2015/9/16,16739.94922
2015/9/15,16599.84961
2015/9/14,16370.95996
2015/9/11,16433.08984
2015/9/10,16330.40039
2015/9/9,16253.57031
2015/9/8,16492.67969
2015/9/4,16102.37988
2015/9/3,16374.75977
2015/9/2,16351.37988
2015/9/1,16058.34961
2015/8/31,16528.0293
2015/8/28,16643.00977
2015/8/27,16654.76953
2015/8/26,16285.50977
2015/8/25,15666.44043
2015/8/24,15871.34961
2015/8/21,16459.75
2015/8/20,16990.68945
2015/8/19,17348.73047
2015/8/18,17511.33984
2015/8/17,17545.17969
2015/8/14,17477.40039
2015/8/13,17408.25
2015/8/12,17402.50977
2015/8/11,17402.83984
2015/8/10,17615.16992
2015/8/7,17373.38086
2015/8/6,17419.75
2015/8/5,17540.4707
2015/8/4,17550.68945
2015/8/3,17598.19922
2015/7/31,17689.85938
2015/7/30,17745.98047
2015/7/29,17751.39063
2015/7/28,17630.26953
2015/7/27,17440.58984
2015/7/24,17568.5293
2015/7/23,17731.91992
2015/7/22,17851.03906
2015/7/21,17919.28906
2015/7/20,18100.41016
2015/7/17,18086.44922
2015/7/16,18120.25
2015/7/15,18050.16992
2015/7/14,18053.58008
2015/7/13,17977.67969
2015/7/10,17760.41016
2015/7/9,17548.61914
2015/7/8,17515.41992
2015/7/7,17776.91016
2015/7/6,17683.58008
2015/7/2,17730.10938
2015/7/1,17757.91016
2015/6/30,17619.50977
2015/6/29,17596.34961
2015/6/26,17946.67969
2015/6/25,17890.35938
2015/6/24,17966.07031
2015/6/23,18144.07031
2015/6/22,18119.7793
2015/6/19,18015.94922
2015/6/18,18115.83984
2015/6/17,17935.74023
2015/6/16,17904.48047
2015/6/15,17791.16992
2015/6/12,17898.83984
2015/6/11,18039.36914
2015/6/10,18000.40039
2015/6/9,17764.03906
