Date,pos,neg,neutral,compound,pos',neg',neutral',compound'
2008/11/6,0.05792,0.18632,0.75576,-0.23382,-0.03556,0.0076,0.028,-0.087928
2008/11/7,0.04048,0.18036,0.7792,-0.228072,-0.01744,-0.00596,0.02344,0.005748
2008/11/10,0.0688,0.2274,0.70388,-0.276848,0.02832,0.04704,-0.07532,-0.048776
2008/11/11,0.0686,0.23464,0.69684,-0.342008,-0.0002,0.00724,-0.00704,-0.06516
2008/11/12,0.0172,0.23652,0.74628,-0.371368,-0.0514,0.00188,0.04944,-0.02936
2008/11/13,0.072,0.1686,0.7594,-0.145144,0.0548,-0.06792,0.01312,0.226224
2008/11/14,0.07264,0.11912,0.80828,-0.121856,0.00064,-0.04948,0.04888,0.023288
2008/11/17,0.02964,0.11572,0.8546,-0.129672,-0.043,-0.0034,0.04632,-0.007816
2008/11/18,0.05388,0.21056,0.73552,-0.279248,0.02424,0.09484,-0.11908,-0.149576
2008/11/19,0.12504,0.11108,0.76388,0.009356,0.07116,-0.09948,0.02836,0.288604
2008/11/20,0.07344,0.1316,0.79496,-0.074028,-0.0516,0.02052,0.03108,-0.083384
2008/11/21,0.0562,0.15212,0.79168,-0.234296,-0.01724,0.02052,-0.00328,-0.160268
2008/11/24,0.05528,0.18448,0.7602,-0.202808,-0.00092,0.03236,-0.03148,0.031488
2008/11/25,0.04996,0.1966,0.75348,-0.243892,-0.00532,0.01212,-0.00672,-0.041084
2008/11/26,0.07068,0.1838,0.74552,-0.206868,0.02072,-0.0128,-0.00796,0.037024
2008/11/28,0.07128,0.16396,0.7648,-0.186792,0.0006,-0.01984,0.01928,0.020076
2008/12/1,0.09164,0.17348,0.73492,-0.12888,0.02036,0.00952,-0.02988,0.057912
2008/12/2,0.08164,0.21032,0.70812,-0.257292,-0.01,0.03684,-0.0268,-0.128412
2008/12/3,0.09052,0.16444,0.74504,-0.224044,0.00888,-0.04588,0.03692,0.033248
2008/12/4,0.12676,0.20556,0.66772,-0.13886,0.03624,0.04112,-0.07732,0.085184
2008/12/5,0.06168,0.239,0.6994,-0.343252,-0.06508,0.03344,0.03168,-0.204392
2008/12/8,0.07868,0.1726,0.74876,-0.144744,0.017,-0.0664,0.04936,0.198508
2008/12/9,0.08896,0.23884,0.67224,-0.249804,0.01028,0.06624,-0.07652,-0.10506
2008/12/10,0.09536,0.22676,0.67788,-0.267072,0.0064,-0.01208,0.00564,-0.017268
2008/12/11,0.05396,0.16464,0.7814,-0.197744,-0.0414,-0.06212,0.10352,0.069328
2008/12/12,0.02496,0.29696,0.67812,-0.440624,-0.029,0.13232,-0.10328,-0.24288
2008/12/15,0.06912,0.10644,0.82448,-0.094584,0.04416,-0.19052,0.14636,0.34604
2008/12/16,0.05572,0.147,0.79732,-0.214028,-0.0134,0.04056,-0.02716,-0.119444
2008/12/17,0.09628,0.1712,0.73256,-0.123736,0.04056,0.0242,-0.06476,0.090292
2008/12/18,0.04684,0.17908,0.77416,-0.23638,-0.04944,0.00788,0.0416,-0.112644
2008/12/19,0.03244,0.18468,0.78288,-0.271144,-0.0144,0.0056,0.00872,-0.034764
2008/12/22,0.0582,0.24096,0.70088,-0.342864,0.02576,0.05628,-0.082,-0.07172
2008/12/23,0.08212,0.15044,0.7674,-0.122276,0.02392,-0.09052,0.06652,0.220588
2008/12/24,0.11168,0.17304,0.71524,-0.106632,0.02956,0.0226,-0.05216,0.015644
2008/12/26,0.06148,0.17212,0.76648,-0.207448,-0.0502,-0.00092,0.05124,-0.100816
2008/12/29,0.0806,0.22368,0.69572,-0.201116,0.01912,0.05156,-0.07076,0.006332
2008/12/30,0.08828,0.20356,0.70824,-0.257392,0.00768,-0.02012,0.01252,-0.056276
2008/12/31,0.05828,0.18776,0.754,-0.229708,-0.03,-0.0158,0.04576,0.027684
2009/1/2,0.05124,0.19952,0.74928,-0.206272,-0.00704,0.01176,-0.00472,0.023436
2009/1/5,0.0484,0.20864,0.74296,-0.308148,-0.00284,0.00912,-0.00632,-0.101876
2009/1/6,0.07588,0.1568,0.76728,-0.132604,0.02748,-0.05184,0.02432,0.175544
2009/1/7,0.04668,0.18928,0.764,-0.3368,-0.0292,0.03248,-0.00328,-0.204196
2009/1/8,0.03672,0.20616,0.75712,-0.339096,-0.00996,0.01688,-0.00688,-0.002296
2009/1/9,0.03356,0.17668,0.78988,-0.27966,-0.00316,-0.02948,0.03276,0.059436
2009/1/12,0.06944,0.1562,0.77436,-0.216992,0.03588,-0.02048,-0.01552,0.062668
2009/1/13,0.05,0.18604,0.764,-0.266792,-0.01944,0.02984,-0.01036,-0.0498
2009/1/14,0.057,0.18504,0.758,-0.273112,0.007,-0.001,-0.006,-0.00632
2009/1/15,0.05656,0.14512,0.79828,-0.163512,-0.00044,-0.03992,0.04028,0.1096
2009/1/16,0.03876,0.25156,0.70964,-0.433824,-0.0178,0.10644,-0.08864,-0.270312
2009/1/20,0.048,0.28096,0.67112,-0.422932,0.00924,0.0294,-0.03852,0.010892
2009/1/21,0.06924,0.19132,0.7394,-0.280396,0.02124,-0.08964,0.06828,0.142536
2009/1/22,0.03772,0.19308,0.76912,-0.239216,-0.03152,0.00176,0.02972,0.04118
2009/1/23,0.07972,0.20728,0.713,-0.220736,0.042,0.0142,-0.05612,0.01848
2009/1/26,0.06492,0.21924,0.7158,-0.29638,-0.0148,0.01196,0.0028,-0.075644
2009/1/27,0.06988,0.18968,0.7404,-0.268368,0.00496,-0.02956,0.0246,0.028012
2009/1/28,0.06288,0.19376,0.74336,-0.222288,-0.007,0.00408,0.00296,0.04608
2009/1/29,0.04852,0.1362,0.81528,-0.148988,-0.01436,-0.05756,0.07192,0.0733
2009/1/30,0.0546,0.16548,0.77992,-0.235576,0.00608,0.02928,-0.03536,-0.086588
2009/2/2,0.07964,0.1532,0.7672,-0.118992,0.02504,-0.01228,-0.01272,0.116584
2009/2/3,0.04268,0.18712,0.77016,-0.29778,-0.03696,0.03392,0.00296,-0.178788
2009/2/4,0.06812,0.19516,0.73672,-0.235616,0.02544,0.00804,-0.03344,0.062164
2009/2/5,0.09584,0.17044,0.73376,-0.09934,0.02772,-0.02472,-0.00296,0.136276
2009/2/6,0.05896,0.15468,0.78632,-0.196356,-0.03688,-0.01576,0.05256,-0.097016
2009/2/9,0.02672,0.20992,0.76328,-0.345492,-0.03224,0.05524,-0.02304,-0.149136
2009/2/10,0.06904,0.22672,0.70436,-0.284832,0.04232,0.0168,-0.05892,0.06066
2009/2/11,0.074,0.17824,0.74768,-0.244792,0.00496,-0.04848,0.04332,0.04004
2009/2/12,0.05356,0.17008,0.77644,-0.240084,-0.02044,-0.00816,0.02876,0.004708
2009/2/13,0.05404,0.17056,0.7754,-0.222336,0.00048,0.00048,-0.00104,0.017748
2009/2/17,0.02744,0.19392,0.77856,-0.290588,-0.0266,0.02336,0.00316,-0.068252
2009/2/18,0.09764,0.15252,0.74988,-0.139664,0.0702,-0.0414,-0.02868,0.150924
2009/2/19,0.07392,0.19408,0.732,-0.190804,-0.02372,0.04156,-0.01788,-0.05114
2009/2/20,0.05276,0.24748,0.69972,-0.284288,-0.02116,0.0534,-0.03228,-0.093484
2009/2/23,0.0522,0.18764,0.7602,-0.259276,-0.00056,-0.05984,0.06048,0.025012
